action_key,description,request_format,target,amount,hostile
gts_grow_self,grow self,gts_grow_self|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_shrink_self,shrink self,gts_shrink_self|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_grow_target,grow target,gts_grow_target|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_shrink_target,shrink target,gts_shrink_target|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_set_self_scale,set self scale,gts_set_self_scale|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_set_target_scale,set target scale,gts_set_target_scale|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_restore_size,restore size,gts_restore_size|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_crouch,crouch,gts_crouch|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_stand,stand,gts_stand|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_grab,grab,gts_grab|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_hug,hug,gts_hug|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_vore,vore,gts_vore|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_stomp,stomp,gts_stomp|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_kick,kick,gts_kick|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_thigh_sandwich,thigh sandwich,gts_thigh_sandwich|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_thigh_crush,thigh crush,gts_thigh_crush|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_butt_crush,butt crush,gts_butt_crush|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_breast_crush,breast crush,gts_breast_crush|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_knee_crush,knee crush,gts_knee_crush|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_cleavage,cleavage,gts_cleavage|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_crush,crush,gts_crush|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_finger_grind,finger grind,gts_finger_grind|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_foot_grind,foot grind,gts_foot_grind|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_release,release,gts_release|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_kick_low,kick low,gts_kick_low|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_kick_high,kick high,gts_kick_high|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_understomp,understomp,gts_understomp|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
